id,tokens,pos_tags,chunk_tags,ner_tags
1420,"['""' 'She' ""'s"" 'fine' 'with' 'it' '.']",[ 0 28 42 16 15 28  7],[ 0 11 21  1 13 11  0],[0 0 0 0 0 0 0]
1421,"['She' 'wished' ',' 'as' 'we' 'all' 'did' ',' 'that' 'it' 'had' ""n't""
 'happened' 'but' 'she' ""'s"" 'spiritually' 'and' 'mentally' 'terrific' '.']",[28 38  6 15 28 12 38  6 15 28 38 30 40 10 28 42 30 10 30 16  7],[11 21  0 17 11 11 21  0 17 11 21 22 22  0 11 21  1  0 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1422,"['There' ""'s"" 'no' 'problem' 'whatsoever' ',' '""' 'he' 'told' 'Reuters'
 '.']",[13 42 12 21 30  6  0 28 38 22  7],[11 21 11 12 11  0  0 11 21 11  0],[0 0 0 0 0 0 0 0 0 3 0]
1423,"['He' 'said' 'the' 'lifestyle' 'associated' 'with' 'being' 'Miss'
 'Universe' 'could' 'make' 'routine' 'exercise' 'difficult' '.']",[28 38 12 21 40 15 39 22 22 20 37 16 21 16  7],[11 21 11 12 21 13 21 11 12 21 22 11 12  1  0],[0 0 0 0 0 0 0 7 8 0 0 0 0 0 0]
1424,"['""' 'The' 'problem' 'is' 'they' 'travel' 'so' 'much' 'and' 'are' 'so'
 'busy' 'that' 'the' 'ability' 'to' 'have' 'any' 'type' 'of' 'regimented'
 'routine' 'workout' 'does' ""n't"" 'exist' '.']","[ 0 12 21 42 28 41 30 30 10 41 30 16 15 12 21 35 37 12 21 15 16 16 21 42
 30 37  7]","[ 0 11 12 21 11 21  3  4  0 21  1  2 17 11 12 21 22 11 12 13 11 12 12 21
 22 22  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1425,['I' 'dont' 'know' 'if' 'Alicia' 'is' 'working' 'out' '.'],[28 41 37 15 22 42 39 33  7],[11 21 22 17 11 21 22 15  0],[0 0 0 0 1 0 0 0 0]
1426,"['We' 'have' ""n't"" 'talked' 'about' 'it' 'because' 'it' 'has' ""n't"" 'been'
 'an' 'issue' ',' '""' 'he' 'said' '.']",[28 41 30 40 15 28 15 28 42 30 40 12 21  6  0 28 38  7],[11 21 22 22 13 11 17 11 21 22 22 11 12  0  0 11 21  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1427,['Kevorkian' 'attends' 'third' 'suicide' 'in' 'week' '.'],[16 42 16 21 15 21  7],[11 21 11 12 13 11  0],[1 0 0 0 0 0 0]
1428,"['PONTIAC' ',' 'Mich' '.']",[22  6 22  7],[11  0 11  0],[5 0 5 0]
1429,['1996-08-22'],[11],[11],[0]
1430,"['Dr.' 'Jack' 'Kevorkian' 'attended' 'his' 'third' 'suicide' 'in' 'less'
 'than' 'a' 'week' 'on' 'Thursday' ',' 'bringing' 'the' 'body' 'of' 'a'
 '40-year-old' 'Missouri' 'woman' 'suffering' 'from' 'multiple'
 'sclerosis' 'to' 'a' 'hospital' 'emergency' 'room' ',' 'doctors' 'said'
 '.']","[22 22 22 38 29 16 21 15 17 15 12 21 15 22  6 39 12 21 15 12 16 22 21 39
 15 16 21 35 12 21 21 21  6 24 38  7]","[11 12 12 21 11 12 12 13  1 13 11 12 13 11  0 21 11 12 13 11 12 12 12 21
 13 11 12 13 11 12 12 12  0 11 21  0]",[0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1431,"['Dr' 'Robert' 'Aranosian' ',' 'emergency' 'room' 'director' 'at'
 'Pontiac' 'Osteopathic' 'Hospital' ',' 'said' 'Kevorkian' 'brought' 'in'
 'the' 'body' 'of' 'Patricia' 'Smith' ',' 'of' 'Lees' 'Summit' ',' 'Mo'
 '.']","[22 22 22  6 21 21 21 15 22 22 22  6 38 16 38 15 12 21 15 22 22  6 15 22
 22  6 22  7]","[11 12 12  0 11 12 12 13 11 12 12  0 21 11 21 13 11 12 13 11 12  0 13 11
 12  0 11  0]",[0 1 2 0 0 0 0 0 5 6 6 0 0 1 0 0 0 0 0 1 2 0 0 5 6 0 5 0]
1432,"[',' 'at' 'midday' 'and' 'told' 'doctors' 'that' 'she' 'had' 'been'
 'paralysed' 'by' 'the' 'disease' '.']",[ 6 15 21 10 38 24 15 28 38 40 40 15 12 21  7],[ 0 13 11  0 21 11 17 11 21 22 22 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1433,"['It' 'was' 'his' 'second' 'assisted-suicide' 'in' '36' 'hours' 'and'
 'the' '37th' 'that' 'he' 'has' 'acknowledged' 'attending' 'since'
 'starting' 'his' 'crusade' 'for' 'doctor' 'assisted' 'suicide' 'in'
 '1990' '.']","[28 38 29 16 21 15 11 24 10 12 16 15 28 42 40 39 15 39 29 21 15 21 40 21
 15 11  7]","[11 21 11 12 12 13 11 12  0 11 12 11 11 21 22 22 13 21 11 12 13 11 21 11
 13 11  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1434,"['Kevorkian' ""'s"" 'lawyer' ',' 'Geoffrey' 'Fieger' ',' 'said' 'those'
 'attending' 'Smith' ""'s"" 'death' 'included' 'her' 'husband' ',' 'David'
 ',' 'a' 'police' 'officer' ',' 'her' 'father' ',' 'James' 'Poland' ','
 'and' 'Kevorkian' '.']","[16 27 21  6 22 22  6 38 12 39 22 27 21 38 28 21  6 22  6 12 21 21  6 29
 21  6 22 22  6 10 22  7]","[11 11 12  0 11 12  0 21 11 12 12 11 12 21 11 12  0 11  0 11 12 12  0 11
 12  0 11 12  0  0 11  0]",[1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 1 0]
1435,"['It' 'was' 'the' 'first' 'known' 'time' 'that' 'a' 'police' 'officer'
 'has' 'been' 'president' 'at' 'the' 'suicide' 'of' 'one' 'of' 'Kevorkian'
 ""'s"" 'patients' '.']",[28 38 12 16 40 21 15 12 21 21 42 40 21 15 12 21 15 11 15 22 27 24  7],[11 21 11 12 12 12 17 11 12 12 21 22 11 13 11 12 13 11 13 11 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
1436,"['He' 'offered' 'no' 'details' 'about' 'the' 'cause' 'of' 'Smith' ""'s""
 'death' 'or' 'the' 'location' '.']",[28 38 12 24 15 12 21 15 22 27 21 10 12 21  7],[11 21 11 12 13 11 12 13 11 11 12  0 11 12  0],[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
1437,"['She' 'was' 'a' 'nurse' 'who' 'had' '""' 'rapidly' 'progressing' 'multple'
 'sclerosis' '.' '""']",[28 38 12 21 44 38  0 30 39 21 21  7  0],[11 21 11 12 11 21  0  3 21 11 12  0  0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
1438,"['On' 'Tuesday' 'night' ',' 'Kevorkian' 'attended' 'the' 'death' 'of'
 'Louise' 'Siebens' ',' 'a' '76-year-old' 'Texas' 'woman' 'with'
 'amyotrophic' 'lateral' 'sclerosis' ',' 'or' 'Lou' 'Gehrig' ""'s""
 'disease' '.']","[15 22 21  6 16 38 12 21 15 22 22  6 12 16 22 21 15 16 16 21  6 10 22 22
 27 21  7]","[13 11 12  0 11 21 11 12 13 11 12  0 11 12 12 12 13 11 12 12  0  0 11 12
 11 12  0]",[0 0 0 0 1 0 0 0 0 1 2 0 0 0 5 0 0 0 0 0 0 0 1 2 0 0 0]
1439,"['On' 'August' '15' ',' 'Kevorkian' 'helped' 'Judith' 'Curren' ',' 'a'
 '42-year-old' 'Massachusetts' 'nurse' ',' 'who' 'suffered' 'from'
 'chronic' 'fatigue' 'syndrome' ',' 'a' 'non-terminal' 'illness' ',' 'to'
 'end' 'her' 'life' '.']","[15 22 11  6 16 38 22 22  6 12 16 22 21  6 44 38 15 16 21 21  6 12 16 21
  6 35 37 29 21  7]","[13 11 12  0 11 21 11 12  0 11 12 12 12  0 11 21 13 11 12 12  0 11 12 12
  0 21 22 11 12  0]",[0 0 0 0 1 0 1 2 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1440,"['Fairview' ',' 'Texas' ',' '$' '1.82' 'million' 'deal' 'Baa1' '-' 'Moody'
 ""'s"" '.']",[22  6 22  6  3 11 11 21 16  8 22 27  7],[11  0 11  0 11 12 12 12  1  0 11 12  0],[5 0 5 0 0 0 0 0 0 0 3 4 0]
1441,['NEW' 'YORK' '1996-08-22'],[22 22 11],[11 12 12],[5 6 0]
1442,"['Moody' ""'s"" 'Investors' 'Service' '-']",[22 27 22 22  8],[11 11 12 12  0],[3 4 4 4 0]
1443,['Rating' 'Announcement' 'As' 'of' '08/21/96' '.'],[22 21 15 15 11  7],[11 12 17 13 11  0],[0 0 0 0 0 0]
1444,['Issuer' ':' 'Fairview' 'Town'],[21  8 22 22],[11  0 11 12],[0 0 5 6]
1445,['State' ':' 'TX'],[21  8 24],[11  0 11],[0 0 5]
1446,['Rating' ':' 'Baa1'],[22  8 16],[11  0  1],[0 0 0]
1447,"['Sale' 'Amount' ':' '1,820,000']",[22 22  8 11],[11 12  0 11],[0 0 0 0]
1448,['Expected' 'Sale' 'Date' ':' '08/27/96'],[40 22 22  8 11],[21 11 12  0 11],[0 0 0 0 0]
1449,"['--' 'U.S.' 'Municipal' 'Desk' ',' '212-859-1650']",[ 8 22 22 22  6 11],[ 0 11 12 12  0 11],[0 3 4 4 0 0]
1450,['Defiant' 'U.S.' 'neo-Nazi' 'jailed' 'by' 'German' 'court' '.'],[22 22 16 40 15 16 21  7],[11 12 12 21 13 11 12  0],[0 5 7 0 0 7 0 0]
1451,['Andrew' 'Gray'],[22 22],[11 12],[1 2]
1452,"['HAMBURG' ',' 'Germany' '1996-08-22']",[22  6 22 11],[11  0 11 12],[5 0 5 0]
1453,"['A' 'Hamburg' 'court' 'sentenced' 'U.S.' 'neo-Nazi' 'leader' 'Gary'
 'Lauck' 'on' 'Thursday' 'to' 'four' 'years' 'in' 'prison' 'for' 'pumping'
 'banned' 'extremist' 'propaganda' 'into' 'Germany' 'from' 'his' 'base'
 'in' 'the' 'United' 'States' '.']","[12 22 21 40 22 16 21 22 22 15 22 35 11 24 15 21 15 39 40 21 21 15 22 15
 29 21 15 12 22 22  7]","[11 12 12 21 11 12 12 12 12 13 11 13 11 12 13 11 13 21 22 11 12 13 11 13
 11 12 13 11 12 12  0]",[0 5 0 0 5 7 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 5 6 0]
1454,"['Lauck' ',' 'from' 'Lincoln' ',' 'Nebraska' ',' 'yelled' 'a' 'tirade'
 'of' 'abuse' 'at' 'the' 'court' 'after' 'his' 'conviction' 'for'
 'inciting' 'racial' 'hatred' '.']",[22  6 15 22  6 22  6 38 12 21 15 21 15 12 21 15 29 21 15 39 16 21  7],[11  0 13 11  0 11  0 21 11 12 13 11 13 11 12 17 11 12 13 21 11 12  0],[1 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1455,"['""' 'The' 'struggle' 'will' 'go' 'on' ',' '""' 'the' '43-year-old'
 'shouted' 'in' 'German' 'before' 'being' 'escorted' 'out' 'by' 'security'
 'guards' '.']",[ 0 12 21 20 37 15  6  0 12 16 38 15 16 15 39 38 33 15 21 24  7],[ 0 11 12 21 22 13  0  0 11 12 21 13 11 13 21 22 15 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0]
1456,"['Lauck' ""'s"" 'lawyer' 'vowed' 'he' 'would' 'appeal' 'against' 'the'
 'court' ""'s"" 'decision' ',' 'arguing' 'that' 'his' 'client' 'should'
 'have' 'been' 'set' 'free' 'because' 'he' 'had' 'not' 'committed' 'any'
 'offence' 'under' 'German' 'law' '.']","[21 27 21 38 28 20 37 15 12 21 27 21  6 39 15 29 21 20 37 40 40 16 15 28
 38 30 40 12 16 15 16 21  7]","[11 11 12 21 11 21 22 13 11 12 11 12  0 21 17 11 12 21 22 22 22  1 17 11
 21 22 22 11 12 13 11 12  0]",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0]
1457,"['The' 'German' 'government' 'hailed' 'the' 'conviction' 'as' 'a' 'major'
 'victory' 'in' 'the' 'fight' 'against' 'neo-Nazism' '.']",[12 16 21 38 12 21 15 12 16 21 15 12 21 15 21  7],[11 12 12 21 11 12 13 11 12 12 13 11 12 13 11  0],[0 7 0 0 0 0 0 0 0 0 0 0 0 0 7 0]
1458,"['Lauck' ""'s"" 'worldwide' 'network' 'has' 'been' 'the' 'main' 'source'
 'of' 'anti-Semitic' 'propaganda' 'material' 'flowing' 'into' 'Germany'
 'since' 'the' '1970s' '.']",[21 42 16 21 42 40 12 16 21 15 16 21 21 39 15 22 15 12 24  7],[11 21  1 11 21 22 11 12 12 13 11 12 12 21 13 11 13 11 12  0],[1 0 0 0 0 0 0 0 0 0 7 0 0 0 0 5 0 0 0 0]
1459,"['""' 'Lauck' 'possessed' 'a' 'well-oiled' 'propaganda' 'machine' ','
 'honed' 'during' 'more' 'than' '20' 'years' ',' '""' 'presiding' 'judge'
 'Guenter' 'Bertram' 'told' 'the' 'court' '.']",[ 0 22 38 12 16 21 21  6 40 15 17 15 11 24  6  0 39 21 22 22 38 12 21  7],[ 0 11 21 11 12 12 12  0 21 13 11 12 12 12  0  0 21 11 12 12 21 11 12  0],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0]
1460,"['""' 'He' 'set' 'up' 'a' 'propaganda' 'cannon' 'and' 'fired' 'it' 'at'
 'Germany' '.' '""']",[ 0 28 41 33 12 21 21 10 38 28 15 22  7  0],[ 0 11 21 15 11 12 12  0 21 11 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 5 0 0]
1461,"['said' 'Bertram' ',' 'who' 'also' 'read' 'out' 'extracts' 'from' 'Lauck'
 ""'s"" 'material' 'praising' 'Hitler' 'as' '""' 'the' 'greatest' 'of' 'all'
 'leaders' '""' 'and' 'describing' 'the' 'Nazi' 'slaughter' 'of' 'millions'
 'of' 'Jews' 'as' 'a' 'myth' '.']","[38 22  6 44 30 38 33 42 15 22 27 21 39 22 15  0 12 18 15 12 24  0 10 39
 12 22 21 15 24 15 23 15 12 21  7]","[21 11  0 11  3 21 15 21 13 11 11 12 21 11 13  0 11 12 13 11 12  0  0 21
 11 12 12 13 11 13 11 13 11 12  0]",[0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 7 0 0 0 0]
1462,"['Eager' 'to' 'put' 'Lauck' 'behind' 'bars' 'quickly' 'and' 'avoid' 'a'
 'long' 'and' 'complex' 'trial' ',' 'prosecutor' 'Bernd' 'Mauruschat'
 'limited' 'his' 'charges' 'to' 'offences' 'since' '1994' '.']","[16 35 37 22 15 24 30 10 37 12 16 10 16 21  6 21 22 22 16 29 24 35 24 15
 11  7]","[11 21 22 11 13 11  3  0 21 11 12 12 12 12  0 11 12 12 12 11 12 21 11 13
 11  0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0]
1463,"['He' 'had' 'demanded' 'a' 'five-year' 'jail' 'term' 'but' 'said' 'he'
 'was' 'satisfied' 'with' 'the' 'court' ""'s"" 'sentence' '.']",[28 38 40 12 16 21 21 10 38 28 38 16 15 12 21 27 21  7],[11 21 22 11 12 12 12  0 21 11 21  1 13 11 12 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1464,"['Publishing' 'and' 'distributing' 'neo-Nazi' 'material' 'is' 'illegal'
 'in' 'Germany' 'but' 'Lauck' ""'s"" 'defence' 'team' 'had' 'argued' 'that'
 'U.S' 'freedom' 'of' 'speech' 'laws' 'meant' 'he' 'was' 'free' 'to'
 'produce' 'his' 'swastika-covered' 'books' ',' 'magazines' ',' 'videos'
 'and' 'flags' 'in' 'his' 'homeland' '.']","[21 10 39 16 21 42 16 15 22 10 22 27 21 21 38 40 15 22 21 15 21 24 38 28
 38 16 35 37 29 16 24  6 24  6 24 10 24 15 29 21  7]","[11  0 21 11 12 21  1 13 11  0 11 11 12 12 21 22 17 11 12 13 11 12 21 11
 21  1 21 22 11 12 12  0 11  0 11 12 12 13 11 12  0]","[0 0 0 7 0 0 0 0 5 0 1 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
1465,"['Interior' 'Minister' 'Manfred' 'Kanther' 'said' 'in' 'a' 'statement'
 'he' '""' 'welcomed' 'the' 'prosecution' 'and' 'conviction' 'of' 'one'
 'of' 'the' 'ringleaders' 'of' 'international' 'neo-Nazism' 'and'
 'biggest' 'distributers' 'of' 'vicious' 'racist' 'publications' '""' '.']","[22 22 22 22 38 15 12 21 28  0 38 12 21 10 21 15 11 15 12 24 15 16 21 10
 18 24 15 16 16 24  0  7]","[11 12 12 12 21 13 11 12 11  0 21 11 12 12 12 13 11 13 11 12 13 11 12 12
 12 12 13 11 12 12  0  0]",[0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0]
1466,"['""' 'It' 'is' 'high' 'time' 'he' 'was' 'behind' 'bars' ',' '""' 'the'
 'opposition' 'Social' 'Democrats' 'said' 'in' 'a' 'statement' '.']",[ 0 28 42 16 21 28 38 15 24  6  0 12 21 22 23 38 15 12 21  7],[ 0 11 21 11 12 11 21 13 11  0  0 11 12 12 12 21 13 11 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 0 0 0 0 0]
1467,"['Lauck' ',' 'dressed' 'in' 'a' 'sober' 'blue' 'suit' 'and' 'sporting'
 'his' 'trademark' 'Hitleresque' 'black' 'moustache' ',' 'showed' 'no'
 'sign' 'of' 'emotion' 'as' 'Bertram' 'spent' 'more' 'than' 'an' 'hour'
 'reading' 'out' 'the' 'verdict' 'and' 'explaining' 'the' 'court' ""'s""
 'decision' '.']","[22  6 40 15 12 16 16 21 10 21 29 21 22 16 21  6 38 12 21 15 21 15 22 38
 17 15 12 21 39 33 12 21 10 39 12 21 27 21  7]","[11  0 21 13 11 12 12 12  0 11 11 12 12 12 12  0 21 11 12 13 11 17 11 21
 11 13 11 12 21 15 11 12  0 21 11 12 11 12  0]","[1 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
1468,"['But' 'as' 'Lauck' 'was' 'about' 'to' 'be' 'led' 'away' ',' 'he' 'turned'
 'to' 'reporters' 'and' 'blurted' 'out' 'a' 'virtually' 'incomprehensible'
 'quick-fire' 'diatribe' 'against' 'the' 'court' '.']","[10 15 21 38 15 35 37 40 30  6 28 38 35 24 10 38 33 12 30 21 21 21 15 12
 21  7]","[ 0 17 11 21  1 21 22 22  3  0 11 21 13 11  0 21 15 11 12 12 12 12 13 11
 12  0]",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1469,"['""' 'Neither' 'the' 'National' 'Socialists' '(' 'Nazis' ')' 'nor' 'the'
 'communists' 'dared' 'to' 'kidnap' 'an' 'American' 'citizen' ',' '""' 'he'
 'shouted' ',' 'in' 'an' 'oblique' 'reference' 'to' 'his' 'extradition'
 'to' 'Germany' 'from' 'Denmark' '.' '""']","[ 0 12 12 22 23  4 23  5 10 12 24 38 35 37 12 16 21  6  0 28 38  6 15 12
 16 21 35 29 21 35 22 15 22  7  0]","[ 0 11 11 12 12  0 11  0  0 11 12 21 22 22 11 12 12  0  0 11 21  0 13 11
 12 12 13 11 12 13 11 13 11 12  0]",[0 0 0 7 8 0 7 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 0 0]
1470,"['That' ""'s"" 'the' 'truth' '.' '""']",[12 42 12 21  7  0],[11 21 11 12  0  0],[0 0 0 0 0 0]
1471,"['His' 'attorney' ',' 'Hans-Otto' 'Sieg' ',' 'told' 'reporters' 'outside'
 'the' 'courtroom' 'that' 'the' 'judges' 'had' 'not' 'explained' 'how' 'a'
 'German' 'court' 'could' 'judge' 'someone' 'for' 'actions' 'carried'
 'out' 'in' 'the' 'United' 'States' '.']","[29 21  6 22 22  6 38 24 15 12 21 15 12 24 38 30 38 46 12 16 21 20 37 21
 15 24 38 33 15 12 22 22  7]","[11 12  0 11 12  0 21 11 13 11 12 17 11 12 21 22 22  3 11 12 12 21 22 11
 13 11 21 15 13 11 12 12  0]",[0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 5 6 0]
1472,"['Bertram' 'said' 'Lauck' 'was' 'obsessed' 'by' 'Nazism' 'and' 'devoted'
 'his' 'life' 'to' 'leading' 'his' 'National' 'Socialist' 'German'
 'Workers' ""'"" 'Party' 'Foreign' 'Organisation' '(' 'NSDAP-AO' ')' ','
 'which' 'derives' 'its' 'name' 'from' 'the' 'full' 'German' 'title' 'of'
 'Hitler' ""'s"" 'Nazi' 'party' '.']","[22 38 21 38 40 15 22 10 38 29 21 35 39 29 22 22 22 23 27 22 22 22  4 22
  5  6 43 42 29 21 15 12 16 16 21 15 22 27 22 21  7]","[11 21 11 21  1 13 11  0 21 11 12 13 21 11 12 12 12 12 11 12 12 12  0 11
  0  0 11 21 11 12 13 11 12 12 12 13 11 11 12 12  0]","[1 0 1 0 0 0 7 0 0 0 0 0 0 0 3 4 4 4 4 4 4 4 0 3 0 0 0 0 0 0 0 0 0 7 0 0 1
 0 7 0 0]"
1473,"['During' 'the' 'three-month' 'trial' ',' 'the' 'court' 'dealt' 'mainly'
 'with' 'issues' 'of' 'the' 'NSDAP-AO' ""'s"" '""' 'NS' 'Kampfruf' '""' '('
 '""' 'National' 'Socialist' 'Battle' 'Cry' '""' ')' 'magazine' ',' 'filled'
 'with' 'references' 'to' 'Aryan' 'supremacy' 'and' 'defamatory'
 'statements' 'about' 'Jews' '.']","[15 12 16 21  6 12 21 40 30 15 24 15 12 22 27  0 22 22  0  4  0 22 22 22
 22  0  5 21  6 40 15 24 35 16 21 10 16 24 15 23  7]","[13 11 12 12  0 11 12 21  3 13 11 13 11 12 12  0 11 12  0  0  0 11 12 12
 12  0  0 11  0 21 13 11 13 11 12  0 11 12 13 11  0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 4 0 0 0 3 4 4 4 0 0 0 0 0 0 0 0 7 0 0 0
 0 0 7 0]"
1474,"['The' 'court' 'rejected' 'Sieg' ""'s"" 'argument' 'that' 'Lauck' ""'s""
 'extradition' 'from' 'Denmark' ',' 'where' 'he' 'was' 'arrested' 'in'
 'March' 'last' 'year' 'at' 'the' 'request' 'of' 'German' 'authorities'
 ',' 'was' 'illegal' '.']","[12 21 38 22 27 21 15 22 27 21 15 22  6 46 28 38 40 15 22 16 21 15 12 21
 15 16 24  6 38 16  7]","[11 12 21 11 11 12 17 11 11 12 13 11  0  3 11 21 22 13 11 11 12 13 11 12
 13 11 12  0 21  1  0]",[0 0 0 1 0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0]
1475,"['Lauck' 'was' 'also' 'convicted' 'of' 'disseminating' 'the' 'symbols'
 'of' 'anti-constitutional' 'organisations' '.']",[21 38 30 40 15 39 12 24 15 16 24  7],[11 21 22 22 13 21 11 12 13 11 12  0],[1 0 0 0 0 0 0 0 0 0 0 0]
1476,"['He' 'will' 'probably' 'be' 'free' 'in' 'around' 'two' 'and' 'a' 'half'
 'years' '.']",[28 20 30 37 16 15 15 11 10 12 21 24  7],[11 21 22 22  1 13 11 12 12 12 12 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
1477,"['The' 'court' 'ruled' 'that' 'the' '15' 'months' 'he' 'has' 'spent' 'in'
 'custody' 'since' 'his' 'arrest' 'should' 'be' 'subtracted' 'from' 'his'
 'prison' 'term' '.']",[12 21 38 15 12 11 24 28 42 40 15 21 15 29 21 20 37 40 15 29 21 21  7],[11 12 21 17 11 12 12 11 21 22 13 11 13 11 12 21 22 22 13 11 12 12  0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1478,"['UN' 'official' 'says' 'Iraqi' 'deal' 'will' 'occur' '""' 'soon' '""' '.']",[22 21 42 16 21 20 37  0 30  0  7],[ 7 11 21 11 12 21 22  0  3  0  0],[3 0 0 7 0 0 0 0 0 0 0]
1479,['UNITED' 'NATIONS' '1996-08-22'],[22 24 11],[11 12 12],[3 4 0]
1480,"['A' 'senior' 'U.N.' 'official' 'said' 'on' 'Thursday' 'he' 'expected'
 'arrangements' 'to' 'implement' 'the' 'Iraqi' 'oil-for-food' 'deal'
 'could' 'be' 'completed' '""' 'quite' 'soon' '.' '""']",[12 16 22 21 38 15 22 28 38 24 35 37 12 16 21 21 20 37 40  0 30 30  7  0],[11 12 12 12 21 13 11 11 21 11 21 22 11 12 12 12 21 22 22  0  1  3  0  0],[0 0 3 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0]
1481,"['""' 'I' 'am' 'reluctant' 'to' 'speculate' 'but' 'we' 'are' 'doing' 'the'
 'preparations' 'and' 'the' 'secretary-general' 'is' 'anxious' 'to'
 'start' 'the' 'program' ',' '""' 'said' 'Undersecretary-General' 'Yasushi'
 'Akashi' '.']","[ 0 28 41 16 35 37 10 28 41 39 12 24 10 12 21 42 16 35 37 12 21  6  0 38
 22 22 22  7]","[ 0 11 21  1 21 22  0 11 21 22 11 12  0 11 12 21  1 21 22 11 12  0  0 21
 11 12 12  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
1482,"['""' 'It' 'might' 'be' 'sooner' 'than' 'you' 'think' ',' '""' 'he' 'told'
 'reporters' 'after' 'briefing' 'the' 'Security' 'Council' 'on'
 'arrangements' 'for' 'monitors' 'needed' 'to' 'carry' 'out' 'the'
 'agreement' '.']","[ 0 28 20 37 31 15 28 41  6  0 28 38 24 15 21 12 22 22 15 24 15 24 40 35
 37 33 12 21  7]","[ 0 11 21 22  3 17 11 21  0  0 11 21 11 13 11 11 12 12 13 11 13 11 21 22
 22 15 11 12  0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 0 0 0 0 0 0]
1483,"['Akashi' 'is' 'head' 'of' 'the' 'Department' 'of' 'Humanitarian'
 'affairs' '.']",[22 42 21 15 12 22 15 16 24  7],[11 21 11 13 11 12 13 11 12  0],[1 0 0 0 0 3 4 4 4 0]
1484,['His' 'deputy' 'earlier' 'speculated' 'at' 'least' '10' 'days' '.'],[29 21 30 38 15 18 11 24  7],[11 12  3 21 11 12 12 12  0],[0 0 0 0 0 0 0 0 0]
1485,['Suspected' 'killers' 'of' 'bishop' 'dead' '--' 'Algeria' 'TV' '.'],[16 24 15 21 16  8 22 22  7],[11 12 13 11  1  0 11 12  0],[0 0 0 0 0 0 3 4 0]
1486,['PARIS' '1996-08-22'],[22 11],[11 12],[5 0]
